IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
ANNA,KOBIETA,1075653
PIOTR,MĘŻCZYZNA,692120
KRZYSZTOF,MĘŻCZYZNA,645674
KATARZYNA,KOBIETA,605826
MARIA,KOBIETA,594197
MAŁGORZATA,KOBIETA,579481
AGNIESZKA,KOBIETA,548636
ANDRZEJ,MĘŻCZYZNA,542386
TOMASZ,MĘŻCZYZNA,538080
PAWEŁ,MĘŻCZYZNA,507624
MICHAŁ,MĘŻCZYZNA,491591
BARBARA,KOBIETA,485438
JAN,MĘŻCZYZNA,485100
EWA,KOBIETA,478990
MARCIN,MĘŻCZYZNA,450609
MAGDALENA,KOBIETA,434693
JAKUB,MĘŻCZYZNA,422395
ELŻBIETA,KOBIETA,420102
KRYSTYNA,KOBIETA,413847
JOANNA,KOBIETA,404892
ADAM,MĘŻCZYZNA,401718
ALEKSANDRA,KOBIETA,389099
ŁUKASZ,MĘŻCZYZNA,384143
MAREK,MĘŻCZYZNA,382201
MONIKA,KOBIETA,378440
GRZEGORZ,MĘŻCZYZNA,377006
MATEUSZ,MĘŻCZYZNA,376449
STANISŁAW,MĘŻCZYZNA,374852
ZOFIA,KOBIETA,373092
TERESA,KOBIETA,335287
WOJCIECH,MĘŻCZYZNA,334615
NATALIA,KOBIETA,314773
JULIA,KOBIETA,303234
DANUTA,KOBIETA,301751
KAROLINA,KOBIETA,293737
MARTA,KOBIETA,289815
MARIUSZ,MĘŻCZYZNA,288344
DARIUSZ,MĘŻCZYZNA,285899
BEATA,KOBIETA,280756
DOROTA,KOBIETA,269186
MACIEJ,MĘŻCZYZNA,267785
ZBIGNIEW,MĘŻCZYZNA,267089
RAFAŁ,MĘŻCZYZNA,262387
ROBERT,MĘŻCZYZNA,260217
ALICJA,KOBIETA,251102
KAMIL,MĘŻCZYZNA,250833
JERZY,MĘŻCZYZNA,244093
HALINA,KOBIETA,243336

